FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
332,0d650881-2ce9-4b03-89d7-deb54ad71627,5103,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Wrekin Constrictive Substation,8.11825912176113,6.32647231434589
333,30ff539f-4cdc-4911-92b3-cfc0f24b4fb2,5102,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mgbom Okposi / Obioha,EBSBZR08,Ohaozara,11011,Ebonyi,EB,GRID,Onu Mgbom Substation,7.82492166700138,6.03288333269967
334,cf3c6933-4ef4-41ae-8993-224bb03eae7d,5101,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oriuzor 2,EBSEBJ10,Ezza North,11005,Ebonyi,EB,GRID,Uwuezeali Oriuzor Substation,8.07167166681404,6.27671166720972
335,d58df1d4-068b-45ca-ab4e-58dbd21b7102,5099,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ameka / Ihotor / Amajim,EBSNKE04,Ezza South,11006,Ebonyi,EB,GRID,Ameka Transformer,8.11972333316533,6.17403666725846
336,a4f580d8-5681-4b62-979b-d797f3827a11,5098,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Agalegu 1,EBSUGB03,Ebonyi,11004,Ebonyi,EB,GRID,Obobo Transformer 1,8.07811333256427,6.42615333271016
337,6d08ab10-da06-46cd-a672-edf701523c8e,5097,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oferekpe / Enya,EBSBKL21,Izzi,11010,Ebonyi,EB,GRID,Health Centre Amachara Agbaja Substation,8.17673666726341,6.57100333323729
338,3cc757eb-7959-44f9-8e5c-ca8e6b6aeb01,5096,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Orichi Amikeaba Transformer,8.09244999996758,6.3453566995521
339,e546f9e1-6c04-4648-a94d-98a1d240437d,5094,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okpaugwu,EBSAKL17,Abakaliki,11001,Ebonyi,EB,GRID,Elais Odili Transformer,8.11998666725094,6.33351499971752
340,9f106a1a-20b2-40df-95ce-8c079d22a652,5093,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Uhuobia,EBSNCA22,Onicha,11013,Ebonyi,EB,GRID,Ndiagu Uhueze Electricity Station,7.78083833292277,6.14011833339441
341,8071e884-757c-415f-89d0-a71392022b9f,5092,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ameka / Ihotor / Amajim,EBSNKE04,Ezza South,11006,Ebonyi,EB,GRID,Amaogwe Ameka Community Transformer,8.12019166681205,6.18628500005275
342,d744f556-b097-44db-b73c-756b3588956f,5091,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Nwanu,EBSBKL19,Izzi,11010,Ebonyi,EB,GRID,Mkpuma Ekwoku Transformer,8.26605333269521,6.50801000036125
343,35c850de-7ed7-4883-8c9e-e5715861906b,5090,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iboko,EBSBKL06,Izzi,11010,Ebonyi,EB,GRID,Iboko Urban Transformer,8.22508333282957,6.40447166743354
344,752ee4c9-3e8e-4fda-8605-dd80c5a2a866,5089,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Amuzu,EBSBKL02,Izzi,11010,Ebonyi,EB,GRID,Ndiokabi Transformer,8.23267666679476,6.32608999995358
345,ce45b365-f8e2-467e-a442-7474a3e9ada5,5088,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ameka / Ihotor / Amajim,EBSNKE04,Ezza South,11006,Ebonyi,EB,GRID,Enyim Amalekwuna Transformer,8.09201166680504,6.19534666701514
