FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,fctry_st_s,source,fctry_st_n,x,y
6660,488d027e-ed9a-4ff2-a9ff-d9be3f062223,28355,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,UnUsed Good,GRID,Iso Glass,3.84731666723047,7.35901333269919
6661,a4f8e716-06a9-4b53-a732-a890e5719aaf,28354,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Procter And Gamble P and G,3.84983166719775,7.3582633331863
6662,68760b24-4f83-4bfd-b65e-59b25049235d,28353,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Waw,3.84847833320856,7.36413499963055
6663,353b3d89-8dd9-4851-8c62-ad1bc3133daa,28352,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ring Road / Challenge / Oluyole,OYSISW12,Ibadan South West,31010,Oyo,OY,In Use,GRID,Golden Key House,3.84386166708231,7.36140499964108
6664,a43086e3-26d7-4113-9a0d-55dfd2b1e3b1,28351,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Idi Ose,OYSONA08,Ona Ara,31026,Oyo,OY,UnUsed Good,GRID,Adu Block Industry,3.96157499988641,7.31565833256604
6665,0fa8ff14-dbe6-4b51-ba07-fb2274b6ebd0,28350,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Apete,OYSIDO03,Ido,31014,Oyo,OY,In Use,GRID,Opeyemi Block Industry Ayegun Oke Odan Apete,3.86041833343938,7.47689999993509
6666,bc149272-fdae-400e-89f0-4fb4bf871291,28349,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Apete,OYSIDO03,Ido,31014,Oyo,OY,In Use,GRID,Durojaye Block Industry Ayegun Oke Odan Apete,3.86058666674131,7.47722000030279
6667,e4e45dee-a107-4727-a1cb-312061df4b94,28348,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Apete,OYSIDO03,Ido,31014,Oyo,OY,In Use,GRID,Labanji Block Industry Ayegun Oke Odan Apete,3.86078166674059,7.47756333268171
6668,c1b6662a-b51b-4c89-9ac8-51e836618d1c,28347,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Apete,OYSIDO03,Ido,31014,Oyo,OY,In Use,GRID,Taiwo Block Industry,3.86105500038798,7.47794666690521
6669,9610b876-eadb-407a-bef0-11baf5649230,28346,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Apete,OYSIDO03,Ido,31014,Oyo,OY,In Use,GRID,Jesuloba Block Industry Oke Odan Ayegun Area Apete,3.86169999955536,7.47979166655222
6670,11e56eee-cfd9-4cd1-bdc5-9d3d6d5277f7,28345,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Apete,OYSIDO03,Ido,31014,Oyo,OY,In Use,GRID,Block Industry,3.86220833324802,7.48000333278765
